Pais,Sexo,Poblacion
Total,Total,48085361.0
Total,Hombres,23565593.0
Total,Mujeres,24519768.0
España,Total,39881155.0
España,Hombres,19597540.0
España,Mujeres,20283615.0
Europa,Total,2146434.0
Europa,Hombres,1023973.0
Europa,Mujeres,1122461.0
Bulgaria,Hombres,51917.0
Bulgaria,Mujeres,54763.0
Dinamarca,Total,9267.0
Dinamarca,Hombres,4865.0
Dinamarca,Mujeres,4402.0
Finlandia,Total,12029.0
Finlandia,Hombres,5218.0
Finlandia,Mujeres,6811.0
Francia,Total,215283.0
Francia,Hombres,104689.0
Francia,Mujeres,110594.0
Irlanda,Total,18913.0
Irlanda,Hombres,10054.0
Irlanda,Mujeres,8859.0
Italia,Total,154749.0
Italia,Hombres,88932.0
Italia,Mujeres,65817.0
Paises Bajos,Total,55312.0
Paises Bajos,Hombres,28933.0
Paises Bajos,Mujeres,26379.0
Polonia,Total,52289.0
Polonia,Hombres,20784.0
Polonia,Mujeres,31505.0
Portugal,Total,95171.0
Portugal,Hombres,51680.0
Portugal,Mujeres,43491.0
Alemania,Total,176496.0
Alemania,Hombres,85117.0
Alemania,Mujeres,91379.0
Rumania,Total,538699.0
Rumania,Hombres,256339.0
Rumania,Mujeres,282360.0
Suecia,Total,22041.0
Suecia,Hombres,10413.0
Suecia,Mujeres,11628.0
Lituania,Total,14917.0
Lituania,Hombres,5998.0
Lituania,Mujeres,8919.0
Reino Unido,Total,293696.0
Reino Unido,Hombres,148946.0
Reino Unido,Mujeres,144750.0
Noruega,Total,11169.0
Noruega,Hombres,5518.0
Noruega,Mujeres,5651.0
Suiza,Total,59406.0
Suiza,Hombres,29313.0
Suiza,Mujeres,30093.0
Ucrania,Total,197192.0
Ucrania,Hombres,75722.0
Ucrania,Mujeres,121470.0
Moldavia,Total,24134.0
Moldavia,Hombres,11169.0
Moldavia,Mujeres,12965.0
Rusia,Total,118801.0
Rusia,Hombres,44615.0
Rusia,Mujeres,74186.0
Otro pais del resto de Europa,Total,76870.0
